,English,English_cleaned,Spanish,French,German
787,almost all the doors were closed,almost all the doors were closed,casi todas las puertas estaban cerradas,presque toutes les portes étaient fermées,fast alle Türen waren geschlossen
788,am i interrupting something here,am i interrupting something here,¿Estoy interrumpiendo algo aquí?,est-ce que j'interromps quelque chose ici,unterbreche ich hier etwas
789,an honest man never steals money,an honest man never steals money,un hombre honesto nunca roba dinero,un honnête homme ne vole jamais d'argent,Ein ehrlicher Mann stiehlt niemals Geld
790,an olive branch symbolises peace,an olive branch symbolises peace,una rama de olivo simboliza la paz,une branche d'olivier symbolise la paix,Ein Olivenzweig symbolisiert Frieden
791,an olive branch symbolizes peace,an olive branch symbolizes peace,una rama de olivo simboliza la paz,une branche d'olivier symbolise la paix,Ein Olivenzweig symbolisiert Frieden
792,"apparently, not much has changed",apparently  not much has changed,aparentemente no ha cambiado mucho,apparemment pas grand chose a changé,anscheinend hat sich nicht viel geändert
793,are there any apples on the tree,are there any apples on the tree,¿Hay manzanas en el árbol?,y a-t-il des pommes sur l'arbre,Gibt es Äpfel auf dem Baum?
794,are there still some empty seats,are there still some empty seats,¿Todavía hay algunos asientos vacíos?,y a-t-il encore des sièges vides,gibt es noch einige Plätze frei
795,are these all the sizes you have,are these all the sizes you have,estas son todas las tallas que tienes,sont-ce toutes les tailles que vous avez,sind das alle größen die du hast
796,are these the only ones you have,are these the only ones you have,estos son los unicos que tienes,sont-ce les seuls que vous avez,sind das die einzigen die du hast
797,are they taking good care of you,are they taking good care of you,¿Te están cuidando bien?,prennent-ils bien soin de vous,kümmern sie sich gut um dich
798,are you accusing me of something,are you accusing me of something,¿Me estás acusando de algo?,tu m'accuse de quelque chose,werfen Sie mir etwas vor
799,are you allergic to any medicine,are you allergic to any medicine,¿Eres alérgico a algún medicamento?,êtes-vous allergique à un médicament,Sind Sie allergisch gegen ein Medikament?
800,are you and tom working together,are you and tom working together,¿Tú y Tom están trabajando juntos?,est-ce que toi et tom travaillez ensemble,Arbeiten Sie und Tom zusammen?
801,are you aware of what's happened,are you aware of what is happened,eres consciente de lo que ha pasado,êtes-vous au courant de ce qui s'est passé,ist dir bewusst was passiert ist
802,are you giving me another chance,are you giving me another chance,¿Me estás dando otra oportunidad?,me donnes-tu une autre chance,gibst du mir noch eine chance
803,are you going to eat those fries,are you going to eat those fries,te vas a comer esas papas fritas,tu vas manger ces frites,wirst du diese Pommes essen
804,are you guys stupid or something,are you guys stupid or something,¿son ustedes estúpidos o algo así?,êtes-vous stupides ou quelque chose comme ça,seid ihr dumm oder so
805,are you hiding something from us,are you hiding something from us,¿Estás escondiéndonos algo?,nous caches-tu quelque chose,Versteckst du uns etwas?
806,are you in any of those pictures,are you in any of those pictures,estas en alguna de esas fotos,es-tu sur l'une de ces photos,bist du auf einem dieser bilder
807,are you lazy or just incompetent,are you lazy or just incompetent,eres perezoso o simplemente incompetente,es-tu paresseux ou simplement incompétent,bist du faul oder einfach nur inkompetent
808,are you looking for your parents,are you looking for your parents,¿Estás buscando a tus padres?,tu cherches tes parents,suchst du deine eltern
809,are you seeing anybody right now,are you seeing anybody right now,¿Estás viendo a alguien en este momento?,tu vois quelqu'un en ce moment,triffst du dich gerade mit jemandem
810,are you still playing the guitar,are you still playing the guitar,¿Sigues tocando la guitarra?,tu joues encore de la guitare,Spielst du noch Gitarre?
811,are you sure there's no solution,are you sure there is no solution,¿Estás seguro de que no hay solución?,es-tu sûr qu'il n'y a pas de solution,"Bist du sicher, dass es keine Lösung gibt?"
812,are you sure this is a good idea,are you sure this is a good idea,¿Estás seguro de que es una buena idea?,es-tu sûr que c'est une bonne idée,"bist du sicher, dass das eine gute idee ist"
813,are you sure we have enough beer,are you sure we have enough beer,¿Estás seguro de que tenemos suficiente cerveza?,êtes-vous sûr que nous avons assez de bière,"Bist du sicher, dass wir genug Bier haben?"
814,are you sure we have enough food,are you sure we have enough food,¿Estás seguro de que tenemos suficiente comida?,êtes-vous sûr que nous avons assez de nourriture,"Bist du sicher, dass wir genug zu essen haben?"
815,are you sure you can handle this,are you sure you can handle this,¿Estás seguro de que puedes manejar esto?,êtes-vous sûr de pouvoir gérer cela,"bist du sicher, dass du damit umgehen kannst"
816,are you sure you just want water,are you sure you just want water,¿Estás seguro de que solo quieres agua?,es-tu sûr que tu veux juste de l'eau,"Bist du sicher, dass du nur Wasser willst?"
817,are you sure you know what to do,are you sure you know what to do,¿estás seguro de que sabes qué hacer?,es-tu sûr de savoir quoi faire,"bist du sicher, dass du weißt, was zu tun ist"
818,are you telling me it's my fault,are you telling me it is my fault,¿Me estás diciendo que es mi culpa?,es-tu en train de me dire que c'est de ma faute,"Willst du mir sagen, dass es meine Schuld ist?"
819,are you tired of waiting in line,are you tired of waiting in line,¿Estás cansado de esperar en la fila?,êtes-vous fatigué d'attendre en ligne,"Bist du es leid, in der Schlange zu stehen?"
820,are you trying to be funny again,are you trying to be funny again,¿Estás tratando de ser gracioso otra vez?,essaies-tu encore d'être drôle,versuchst du wieder lustig zu sein
821,aren't you ashamed of yourselves,are not you ashamed of yourselves,¿No os avergonzáis de vosotros mismos?,n'avez-vous pas honte de vous,schämt ihr euch nicht
822,aren't you going to open the box,are not you going to open the box,no vas a abrir la caja,n'allez-vous pas ouvrir la boîte,Willst du nicht die Kiste öffnen?
823,armenia is a mountainous country,armenia is a mountainous country,armenia es un país montañoso,l'arménie est un pays montagneux,Armenien ist ein gebirgiges Land
824,"as for me, i have nothing to say",as for me  i have nothing to say,en cuanto a mi no tengo nada que decir,pour ma part je n'ai rien a dire,"was mich betrifft, ich habe nichts zu sagen"
825,ask at the police box over there,ask at the police box over there,pregunta en la cabina de policia de ahi,demander au poste de police là-bas,frag dort bei der polizei nach
826,"at any rate, i hope you can come",at any rate  i hope you can come,"De todos modos, espero que puedas venir.",en tout cas j'espère que tu pourras venir,"jedenfalls hoffe ich, dass du kommen kannst"
827,"at last, they came to a decision",at last  they came to a decision,por fin llegaron a una decision,ils ont enfin pris une décision,Endlich kamen sie zu einer Entscheidung
828,at least i tried to do something,at least i tried to do something,al menos traté de hacer algo,au moins j'ai essayé de faire quelque chose,"zumindest habe ich versucht, etwas zu tun"
829,"at that time, we were quite rich",at that time  we were quite rich,en ese momento éramos bastante ricos,à cette époque nous étions assez riches,damals waren wir ziemlich reich
830,at what time did the show finish,at what time did the show finish,a que hora termino el show,à quelle heure le spectacle s'est-il terminé,um wie viel Uhr endete die Show
831,at what time does your class end,at what time does your class end,a que hora termina tu clase,à quelle heure se termine votre cours,um wie viel Uhr endet dein Unterricht
832,be careful not to break the eggs,be careful not to break the eggs,ten cuidado de no romper los huevos,attention a ne pas casser les oeufs,"Achten Sie darauf, die Eier nicht zu zerbrechen"
833,be careful not to drink too much,be careful not to drink too much,ten cuidado de no beber demasiado,attention à ne pas trop boire,"Achten Sie darauf, nicht zu viel zu trinken"
834,be careful on your way back home,be careful on your way back home,ten cuidado en tu camino de regreso a casa,soyez prudent sur le chemin du retour,seien Sie vorsichtig auf dem Heimweg
835,be careful when you cross a road,be careful when you cross a road,ten cuidado cuando cruces una calle,soyez prudent lorsque vous traversez une route,"Seien Sie vorsichtig, wenn Sie eine Straße überqueren"
836,be quiet and get back in the car,be quiet and get back in the car,cállate y vuelve al auto,tais-toi et remonte dans la voiture,Sei leise und steig wieder ins Auto
837,"because he's sick, he can't come",bececause he is sick  he cannot come,porque esta enfermo no puede venir,parce qu'il est malade il ne peut pas venir,"weil er krank ist, kann er nicht kommen"
838,berlin is the capital of germany,berlin is the capital of germany,Berlín es la capital de Alemania,Berlin est la capitale de l'Allemagne,berlin ist die hauptstadt von deutschland
839,birds are flying above the trees,birds are flying above the trees,los pájaros vuelan sobre los árboles,les oiseaux volent au-dessus des arbres,Vögel fliegen über den Bäumen
840,both tom and mary are my friends,both tom and mary are my friends,tanto tom como mary son mis amigos,tom et mary sont mes amis,Sowohl Tom als auch Mary sind meine Freunde
841,both tom and mary work as models,both tom and mary work as models,tanto tom como mary trabajan como modelos,tom et mary travaillent comme modèles,Sowohl Tom als auch Mary arbeiten als Models
842,both tom and mary work full time,both tom and mary work full time,tanto tom como mary trabajan a tiempo completo,tom et mary travaillent à plein temps,Sowohl Tom als auch Mary arbeiten Vollzeit
843,both of us want to see the movie,both of us want to see the movie,los dos queremos ver la pelicula,nous voulons tous les deux voir le film,Wir beide wollen den Film sehen
844,breakfast and lunch are included,breakfast and lunch are included,El desayuno y el almuerzo están incluidos,le petit-déjeuner et le déjeuner sont inclus,Frühstück und Mittagessen sind inbegriffen
845,brush your teeth after each meal,brush your teeth after each meal,cepillarse los dientes después de cada comida,se brosser les dents après chaque repas,Putzen Sie Ihre Zähne nach jeder Mahlzeit
846,"by the way, are you free tonight",by the way  are you free tonight,por cierto estas libre esta noche,au fait tu es libre ce soir,Übrigens hast du heute Abend frei
847,"by the way, what is your address",by the way  what is your address,por cierto cual es tu direccion,au fait quelle est ton adresse,"Übrigens, wie ist Ihre Adresse?"
848,call me if you have any problems,call me if you have any problems,llámame si tienes algún problema,appelez-moi si vous avez des problèmes,"Rufen Sie mich an, wenn Sie irgendwelche Probleme haben"
849,can i ask you something personal,can i ask you something personal,te puedo preguntar algo personal,puis-je te demander quelque chose de personnel,Kann ich dich etwas persönliches fragen
850,can i borrow cash with this card,can i borrow cash with this card,puedo pedir dinero prestado con esta tarjeta,puis-je emprunter de l'argent avec cette carte,Kann ich mit dieser Karte Bargeld ausleihen?
851,can i borrow some money from you,can i borrow some money from you,¿Puedo pedirte prestado algo de dinero?,puis-je vous emprunter de l'argent,kann ich mir etwas geld von dir leihen
852,can i get you something to drink,can i get you something to drink,Puedo darte algo para beber,puis-je t'offrir quelque chose à boire,Kann ich dir etwas zu trinken bringen
853,"can i get your attention, please",can i get your attention  please,puedo llamar su atención por favor,puis-je attirer votre attention s'il vous plaît,Kann ich bitte Ihre Aufmerksamkeit erregen?
854,can i go swimming this afternoon,can i go swimming this afternoon,¿Puedo ir a nadar esta tarde?,puis-je aller nager cet après-midi,Kann ich heute Nachmittag schwimmen gehen?
855,"can i have a few minutes, please",can i have a few minutes  please,puedo tener unos minutos por favor,puis-je avoir quelques minutes s'il vous plaît,Kann ich bitte ein paar Minuten haben?
856,can i have a word with you alone,can i have a word with you alone,¿Puedo tener una palabra contigo a solas?,puis-je avoir un mot avec toi seul,kann ich mit dir alleine sprechen
857,can i have your telephone number,can i have your telephone number,Puedo tener tu número de teléfono,Puis-je avoir votre numéro de téléphone,Kann ich deine Nummer haben
858,can i talk to you about your son,can i talk to you about your son,¿Puedo hablar contigo sobre tu hijo?,puis-je vous parler de votre fils,Kann ich mit Ihnen über Ihren Sohn sprechen?
859,can it be phrased in another way,can it be phrased in another way,se puede expresar de otra forma,peut-il être formulé d'une autre manière,kann man es anders formulieren
860,can my friend sleep over tonight,can my friend sleep over tonight,¿Puede mi amigo quedarse a dormir esta noche?,mon ami peut-il dormir ce soir,kann mein freund heute nacht schlafen
861,can somebody give me a hand here,can somebody give me a hand here,alguien me puede dar una mano aqui,quelqu'un peut-il me donner un coup de main ici,kann mir hier jemand unter die Arme greifen
862,can someone please open the door,can someone please open the door,alguien puede abrir la puerta por favor,quelqu'un peut-il ouvrir la porte s'il vous plait,kann jemand bitte die Tür öffnen
863,can we get started with the game,can we get started with the game,podemos empezar con el juego,pouvons-nous commencer le jeu,können wir mit dem Spiel anfangen
864,can we roller-skate in this park,can we roller skate in this park,podemos patinar en este parque,peut-on faire du roller dans ce parc,Können wir in diesem Park Rollschuh laufen?
865,can you at least be happy for me,can you at least be happy for me,¿Puedes al menos ser feliz por mí?,peux-tu au moins être heureux pour moi,kannst du dich wenigstens für mich freuen
866,can you come to my house tonight,can you come to my house tonight,puedes venir a mi casa esta noche,peux-tu venir chez moi ce soir,kannst du heute abend zu mir nach hause kommen
867,can you give me a slice of bread,can you give me a slice of bread,¿Puedes darme una rebanada de pan?,pouvez-vous me donner une tranche de pain,Kannst du mir eine Scheibe Brot geben?
868,can you give me your cell number,can you give me your cell number,me puedes dar tu numero de celular,pouvez-vous me donner votre numéro de portable,kannst du mir deine Handynummer geben
869,can you help look after the kids,can you help look after the kids,¿Puedes ayudar a cuidar a los niños?,pouvez-vous aider à garder les enfants,"kannst du helfen, auf die Kinder aufzupassen"
870,can you help me pack my suitcase,can you help me pack my suitcase,¿Puedes ayudarme a empacar mi maleta?,pouvez-vous m'aider à faire ma valise,"Können Sie mir helfen, meinen Koffer zu packen?"
871,can you help me plant this shrub,can you help me plant this shrub,me puedes ayudar a plantar este arbusto,pouvez-vous m'aider à planter cet arbuste,"Können Sie mir helfen, diesen Strauch zu pflanzen?"
872,"can you pass me the salt, please",can you pass me the salt  please,Me puedes pasar la sal por favor,pouvez-vous me passer le sel s'il vous plaît,Kannst du mir bitte das Salz reichen?
873,can you please close that window,can you please close that window,¿Puedes por favor cerrar esa ventana?,pouvez-vous s'il vous plaît fermer cette fenêtre,kannst du das fenster bitte schließen
874,can you show me how to tie a tie,can you show me how to tie a tie,¿Puedes mostrarme cómo atar una corbata?,peux-tu me montrer comment nouer une cravate,"Können Sie mir zeigen, wie man eine Krawatte bindet?"
875,can you sing a song for everyone,can you sing a song for everyone,¿Puedes cantar una canción para todos?,peux-tu chanter une chanson pour tout le monde,Kannst du ein Lied für alle singen?
876,can you take tom to the hospital,can you take tom to the hospital,¿Puedes llevar a Tom al hospital?,pouvez-vous emmener tom à l'hôpital,Kannst du Tom ins Krankenhaus bringen?
877,can you talk about that a little,can you talk about that a little,puedes hablar un poco de eso,pouvez-vous en parler un peu,kannst du ein bisschen darüber reden
878,"can you tell me the time, please",can you tell me the time  please,"Puedes decirme la hora, por favor",pouvez-vous m'indiquer l'heure s'il-vous-plaît,Kannst du mir bitte die Zeit sagen
879,can you tell me why you like him,can you tell me why you like him,¿Puedes decirme por qué te gusta?,pouvez-vous me dire pourquoi vous l'aimez,"Kannst du mir sagen, warum du ihn magst?"
880,can you tell us how that'll work,can you tell us how that ll work,¿Puedes decirnos cómo funcionará?,pouvez-vous nous dire comment cela fonctionnera,"können Sie uns sagen, wie das funktionieren wird"
881,can't you tell me how to do this,cannot you tell me how to do this,no puedes decirme como hacer esto,ne pouvez-vous pas me dire comment faire cela,kannst du mir nicht sagen wie das geht
882,canned food doesn't interest her,canned food does not interest her,la comida enlatada no le interesa,la nourriture en conserve ne l'intéresse pas,Konserven interessieren sie nicht
883,cats can see even in dark places,cats can see even in dark places,los gatos pueden ver incluso en lugares oscuros,les chats peuvent voir même dans les endroits sombres,Katzen können sogar an dunklen Orten sehen
884,"change your mind, if you want to",change your mind  if you want to,cambia de opinión si quieres,change d'avis si tu veux,"ändere deine Meinung, wenn du willst"
885,choose your next words carefully,choose your next words carefully,elige tus próximas palabras con cuidado,choisissez soigneusement vos prochains mots,Wählen Sie Ihre nächsten Worte sorgfältig aus
886,christmas is rapidly approaching,christmas is rapidly approaching,la navidad se acerca rápidamente,Noël approche à grands pas,Weihnachten rückt mit großen Schritten näher
887,cicadas aren't harmful to humans,cicadas are not harmful to humans,las cigarras no son dañinas para los humanos,les cigales ne sont pas nocives pour l'homme,Zikaden sind für den Menschen nicht schädlich
888,cigarette smoke bothers me a lot,cigarette smoke bothers me a lot,el humo del cigarro me molesta mucho,la fumée de cigarette me dérange beaucoup,Zigarettenrauch stört mich sehr
889,cleanliness is next to godliness,cleanliness is next to godliness,la limpieza es junto a la piedad,la propreté est proche de la piété,Sauberkeit ist das halbe Leben
890,comb your hair before you go out,comb your hair before you go out,peina tu cabello antes de salir,peigne tes cheveux avant de sortir,"kämmen Sie Ihr Haar, bevor Sie ausgehen"
891,come here at exactly six o'clock,come here at exactly six of the clock,ven aquí exactamente a las seis en punto,viens ici à exactement six heures de l'horloge,Kommen Sie um Punkt sechs Uhr hierher
892,copper conducts electricity well,copper conducts electricity well,el cobre conduce bien la electricidad,le cuivre conduit bien l'électricité,Kupfer leitet Strom gut
893,"could i have some coffee, please",could i have some coffee  please,"¿Podría tomar un poco de café, por favor?",pourrais-je avoir un café s'il vous plaît,Kann ich bitte einen Kaffee haben?
894,"could i see you a minute, please",could i see you a minute  please,"¿podría verte un minuto, por favor?",pourrais-je vous voir une minute s'il vous plaît,könnte ich dich bitte kurz sehen
895,could i talk to you for a minute,could i talk to you for a minute,¿podría hablar contigo un minuto?,pourrais-je te parler une minute,könnte ich dich kurz sprechen
896,could i talk to you for a second,could i talk to you for a second,¿podría hablar contigo un segundo?,pourrais-je te parler une seconde,könnte ich kurz mit dir reden
897,could we ask you a few questions,could we ask you a few questions,podemos hacerle algunas preguntas,pourrions-nous vous poser quelques questions,Dürfen wir Ihnen ein paar Fragen stellen?
898,could we take you somewhere else,could we take you somewhere else,¿podríamos llevarte a otro lugar?,Pourrions-nous vous emmener ailleurs,Können wir Sie woanders hinbringen?
899,"could you close the door, please",could you close the door  please,"podrías cerrar la puerta, por favor",pourriez-vous fermer la porte s'il vous plaît,könntest du bitte die Tür schließen
900,could you download a file for me,could you download a file for me,me podrías descargar un archivo,pourriez-vous me télécharger un fichier,könnten Sie mir eine Datei herunterladen
901,could you explain it more simply,could you explain it more simply,podrias explicarlo mas simple,pourriez-vous l'expliquer plus simplement,kannst du es einfacher erklären
902,could you please clear the table,could you please clear the table,podrías limpiar la mesa por favor,pourriez-vous s'il vous plaît débarrasser la table,könnten Sie bitte den Tisch abräumen
903,could you show me how to do that,could you show me how to do that,me podrías mostrar como hacer eso,pourriez-vous me montrer comment faire cela,kannst du mir zeigen wie das geht
904,could you spare me a few minutes,could you spare me a few minutes,podrías dedicarme unos minutos,pourriez-vous m'accorder quelques minutes,könnten Sie mir ein paar Minuten ersparen
905,could you spare me a little time,could you spare me a little time,¿Podrías dedicarme un poco de tiempo?,pourriez-vous m'accorder un peu de temps,könnten Sie mir etwas Zeit ersparen
906,dna tests showed he was innocent,dna tests showed he was innocent,las pruebas de adn demostraron que era inocente,les tests ADN ont montré qu'il était innocent,"DNA-Tests zeigten, dass er unschuldig war"
907,dad's in an impatient mood today,dad s in an impatient mood today,papá está impaciente hoy,papa est d'humeur impatiente aujourd'hui,Papa ist heute in ungeduldiger Stimmung
908,darkness is the absence of light,darkness is the absence of light,la oscuridad es la ausencia de luz,l'obscurité est l'absence de lumière,Dunkelheit ist die Abwesenheit von Licht
909,death is often compared to sleep,death is often compared to sleep,la muerte a menudo se compara con el sueño,la mort est souvent comparée au sommeil,Der Tod wird oft mit Schlaf verglichen
910,describe that accident in detail,describe that accident in detail,describir ese accidente en detalle,décrire cet accident en détail,Beschreiben Sie diesen Unfall im Detail
911,did i miss something interesting,did i miss something interesting,¿Me perdí algo interesante?,ai-je raté quelque chose d'intéressant,habe ich etwas interessantes verpasst
912,did anybody force you to do that,did anybody force you to do that,¿Alguien te obligó a hacer eso?,est-ce que quelqu'un t'a forcé à faire ça,hat dich jemand dazu gezwungen
913,did you actually see tom dancing,did you actually see tom dancing,¿De verdad viste a Tom bailando?,avez-vous réellement vu Tom danser,Hast du eigentlich Tom tanzen sehen?
914,did you already do your homework,did you already do your homework,ya hiciste tu tarea,As-tu déjà fait tes devoirs,hast du deine hausaufgaben schon gemacht
915,did you also invite your friends,did you also invite your friends,¿También invitaste a tus amigos?,as-tu aussi invité tes amis,hast du auch deine freunde eingeladen
916,did you enjoy yourself yesterday,did you enjoy yourself yesterday,te divertiste ayer,tu t'es bien amusé hier,Hat es dir gestern Spaß gemacht
917,did you find everything you want,did you find everything you want,encontraste todo lo que buscas,avez-vous trouvé tout ce que vous vouliez,hast du alles gefunden was du willst
918,did you go to any famous gardens,did you go to any famous gardens,¿Fuiste a algún jardín famoso?,es-tu allé dans des jardins célèbres,Warst du in irgendwelchen berühmten Gärten?
919,did you hear what we were saying,did you hear what we were saying,escuchaste lo que deciamos,avez-vous entendu ce que nous disions,"hast du gehört, was wir gesagt haben"
920,did you live in boston last year,did you live in boston last year,¿Viviste en Boston el año pasado?,avez-vous vécu à boston l'année dernière,Hast du letztes Jahr in Boston gelebt?
921,did you plant pumpkins this year,did you plant pumpkins this year,¿plantaste calabazas este año?,as-tu planté des citrouilles cette année,Hast du dieses Jahr Kürbisse gepflanzt?
922,did you see where i put my watch,did you see where i put my watch,viste donde puse mi reloj,as-tu vu où j'ai mis ma montre,"Hast du gesehen, wo ich meine Uhr hingelegt habe?"
923,did you tell tom why you're here,did you tell tom why you are here,¿Le dijiste a Tom por qué estás aquí?,as-tu dit à Tom pourquoi tu es ici,"Hast du Tom gesagt, warum du hier bist?"
924,did you watch the game on monday,did you watch the game on monday,¿viste el partido el lunes?,avez-vous regardé le match lundi,Hast du das Spiel am Montag gesehen?
925,didn't i show you my new mustang,did not i show you my new mustang,¿No te mostré mi nuevo mustang?,ne t'ai-je pas montré ma nouvelle mustang,habe ich dir nicht meinen neuen mustang gezeigt
926,didn't you hear your name called,did not you hear your name called,¿No oíste llamar tu nombre?,n'as-tu pas entendu ton nom appelé,hast du deinen Namen nicht gerufen gehört?
927,didn't you write a letter to him,did not you write a letter to him,no le escribiste una carta,ne lui as-tu pas écrit une lettre,Hast du ihm keinen Brief geschrieben?
928,dinosaurs used to rule the earth,dinosaurs used to rule the earth,los dinosaurios gobernaban la tierra,dinosaures utilisés pour gouverner la terre,Dinosaurier beherrschten früher die Erde
929,do i have to think of everything,do i have to think of everything,¿Tengo que pensar en todo?,dois-je penser à tout,muss ich an alles denken
930,do i need to go to the dentist's,do i need to go to the dentist s,¿Necesito ir al dentista?,dois-je aller chez le dentiste s,muss ich zum zahnarzt s
931,do these paintings appeal to you,do these paintings appeal to you,¿Te atraen estas pinturas?,est-ce que ces peintures vous attirent,Sprechen Sie diese Gemälde an?
932,do we have any chance of winning,do we have any chance of winning,¿Tenemos alguna posibilidad de ganar?,avons-nous une chance de gagner,haben wir eine Chance zu gewinnen
933,do we need an universal language,do we need an universal language,¿Necesitamos un lenguaje universal?,avons-nous besoin d'un langage universel,brauchen wir eine universelle sprache
934,do you believe he told the truth,do you believe he told the truth,¿Crees que dijo la verdad?,crois-tu qu'il a dit la vérité,"Glaubst du, er hat die Wahrheit gesagt?"
935,do you ever study in the library,do you ever study in the library,alguna vez estudias en la biblioteca,avez-vous déjà étudié à la bibliothèque,Lernst du jemals in der Bibliothek?
936,do you ever think about that guy,do you ever think about that guy,¿alguna vez piensas en ese tipo?,as-tu déjà pensé à ce gars,denkst du jemals an diesen Kerl
937,do you have a little smaller one,do you have a little smaller one,tienes uno un poco mas chico,en avez-vous un peu plus petit,hast du einen etwas kleineren
938,do you have a table on the patio,do you have a table on the patio,¿Tienes una mesa en el patio?,Avez-vous une table sur la terrasse ?,Haben Sie einen Tisch auf der Terrasse?
939,do you have any one dollar bills,do you have any one dollar bills,tienes billetes de un dolar,avez-vous des billets d'un dollar,Haben Sie Ein-Dollar-Scheine?
940,do you have anything else to add,do you have anything else to add,Tienes algo mas que agregar,Avez-vous quelque chose à ajouter,hast du noch etwas hinzuzufügen
941,do you have brothers and sisters,do you have brothers and sisters,tienes hermanos y hermanas,avez-vous des frères et soeurs,Hast du Geschwister
942,do you have one a little smaller,do you have one a little smaller,tienes uno un poco mas chico,en avez-vous un un peu plus petit,hast du einen etwas kleineren
943,do you have safety deposit boxes,do you have safety deposit boxes,¿Tienes cajas de seguridad?,Avez-vous des coffres-forts ?,Haben Sie Safes?
944,do you have something to show me,do you have something to show me,tienes algo que mostrarme,avez-vous quelque chose à me montrer,hast du mir was zu zeigen
945,do you have something to tell me,do you have something to tell me,Tienes algo que decirme,avez-vous quelque chose à me dire,hast du mir was zu sagen
946,do you have the key to this room,do you have the key to this room,¿Tienes la llave de esta habitación?,Avez-vous la clé de cette chambre ?,Hast du den Schlüssel zu diesem Zimmer?
947,do you have to do this right now,do you have to do this right now,¿Tienes que hacer esto ahora mismo?,tu dois le faire maintenant,musst du das jetzt machen
948,do you have your laptop with you,do you have your laptop with you,¿Tienes tu computadora portátil contigo?,avez-vous votre ordinateur portable avec vous,Hast du deinen Laptop dabei?
949,do you know anybody in australia,do you know anybody in australia,¿Conoces a alguien en Australia?,Connaissez-vous quelqu'un en Australie,kennst du jemanden in australien
950,do you know how to open this box,do you know how to open this box,¿Sabes cómo abrir esta caja?,savez-vous comment ouvrir cette boîte,"Weißt du, wie man diese Kiste öffnet?"
951,do you know how to speak english,do you know how to speak english,sabes cómo hablar inglés,Tu sais parler anglais,Weißt du wie man Englisch spricht
952,do you know what tom was wearing,do you know what tom was wearing,¿sabes lo que llevaba puesto tom?,sais-tu ce que portait Tom,"Weißt du, was Tom trug?"
953,do you know what color she likes,do you know what color she likes,sabes que color le gusta,savez-vous quelle couleur elle aime,"Weißt du, welche Farbe sie mag?"
954,do you know what day it is today,do you know what day it is today,sabes que dia es hoy,sais-tu quel jour on est aujourd'hui,"Weißt du, welcher Tag heute ist?"
955,do you know where the others are,do you know where the others are,¿Sabes dónde están los demás?,savez-vous où sont les autres,"Weißt du, wo die anderen sind?"
956,do you know where they come from,do you know where they come from,¿sabes de dónde vienen?,savez-vous d'où ils viennent,weißt du woher sie kommen
957,do you know who those people are,do you know who those people are,¿sabes quiénes son esas personas?,savez-vous qui sont ces gens,"Weißt du, wer diese Leute sind?"
958,do you know who wrote this novel,do you know who wrote this novel,¿Sabes quién escribió esta novela?,savez-vous qui a écrit ce roman,"Weißt du, wer diesen Roman geschrieben hat?"
959,do you like going to the library,do you like going to the library,te gusta ir a la biblioteca,Aimes-tu aller à la bibliothèque,gehst du gerne in die Bibliothek
960,do you live in this neighborhood,do you live in this neighborhood,vives en este barrio,habitez-vous dans ce quartier,wohnst du in dieser gegend
961,do you love each other very much,do you love each other very much,se aman mucho,est-ce que vous vous aimez beaucoup,liebt ihr euch sehr
962,do you mind if i open the window,do you mind if i open the window,¿te importa si abro la ventana?,ça te dérange si j'ouvre la fenêtre,"Stört es Sie, wenn ich das Fenster öffne"
963,do you mind if i turn off the ac,do you mind if i turn off the ac,¿te importa si apago el aire acondicionado?,ça te dérange si j'éteins la clim,"stört es Sie, wenn ich die Klimaanlage ausschalte?"
964,do you mind waiting for a minute,do you mind waiting for a minute,¿te importa esperar un minuto?,ça te dérange d'attendre une minute,"macht es Ihnen etwas aus, eine Minute zu warten"
965,do you realize what you're doing,do you realize what you are doing,¿Te das cuenta de lo que estás haciendo?,vous rendez-vous compte de ce que vous faites,ist dir klar was du tust
966,do you really believe i did that,do you really believe i did that,¿De verdad crees que hice eso?,tu crois vraiment que j'ai fait ça,"Glaubst du wirklich, dass ich das getan habe?"
967,do you really think tom can swim,do you really think tom can swim,¿De verdad crees que Tom puede nadar?,tu penses vraiment que tom sait nager,"Glaubst du wirklich, Tom kann schwimmen?"
968,do you really think tom is drunk,do you really think tom is drunk,¿De verdad crees que Tom está borracho?,tu penses vraiment que tom est ivre,"Glaubst du wirklich, Tom ist betrunken?"
969,do you really think tom is happy,do you really think tom is happy,¿De verdad crees que Tom es feliz?,tu penses vraiment que tom est heureux,"Glaubst du wirklich, Tom ist glücklich?"
970,do you really think tom is ready,do you really think tom is ready,¿De verdad crees que Tom está listo?,tu penses vraiment que tom est prêt,"Glaubst du wirklich, Tom ist bereit?"
971,do you really think it's no good,do you really think it is no good,¿De verdad crees que no es bueno,tu penses vraiment que ce n'est pas bon,"glaubst du wirklich, dass es nicht gut ist"
972,do you remember seeing me before,do you remember seeing me before,¿recuerdas haberme visto antes?,te souviens-tu de m'avoir vu avant,"erinnerst du dich, mich schon mal gesehen zu haben"
973,do you remember your grandfather,do you remember your grandfather,recuerdas a tu abuelo,te souviens-tu de ton grand-père,erinnerst du dich an deinen Großvater
974,do you see patients on saturdays,do you see patients on saturdays,¿Ves pacientes los sábados?,voyez-vous des patients le samedi,sehen sie samstags patienten
